cdacordao,tipo,PC1,PC2,PC3,PC4,PC5,PC6
1862923,f(ementa),-0.158579,0.085199,-0.063924,-0.100476,-0.021085,0.001435
1862979,f(ementa),-0.059597,0.004043,0.121293,-0.188364,0.016173,-0.008483
1863006,f(ementa),-0.105888,-0.073468,0.099246,-0.215138,0.007788,0.014485
1863007,f(ementa),-0.103008,-0.078128,0.100697,-0.213738,0.009595,0.024031
1863013,f(ementa),-0.044315,-0.097350,0.123999,-0.166645,0.002280,-0.065785
1863016,f(ementa),-0.105888,-0.073468,0.099246,-0.215138,0.007788,0.014485
1863022,f(ementa),-0.065568,-0.061960,0.113431,-0.206950,0.034163,0.034442
1863036,f(ementa),-0.171889,-0.323752,0.052618,0.054143,0.151066,0.150041
1863039,f(ementa),-0.153426,0.026935,-0.009128,-0.317339,-0.036406,0.074402
1863079,f(ementa),-0.119820,-0.084295,0.057238,-0.235781,-0.018586,0.017564
1862294,f(ementa),-0.204373,0.000699,-0.112972,-0.204163,0.008968,0.149592
1862295,f(ementa),-0.204373,0.000699,-0.112972,-0.204163,0.008968,0.149592
1862476,f(ementa),-0.123237,-0.364094,-0.026119,0.059978,0.146207,0.108135
1862519,f(ementa),-0.172255,-0.177715,0.050985,-0.034289,0.196206,0.096182
1862520,f(ementa),-0.164159,-0.328701,0.046280,0.064631,0.142638,0.142492
1862524,f(ementa),-0.185316,0.034455,-0.021130,-0.267823,0.040969,0.096242
1862527,f(ementa),-0.133232,-0.291464,0.079042,0.036261,0.117167,0.045174
1862528,f(ementa),-0.153748,-0.345363,0.021987,0.023443,0.166223,0.168030
1862533,f(ementa),-0.171889,-0.323752,0.052618,0.054143,0.151066,0.150041
1862541,f(ementa),-0.184448,0.001954,-0.141510,-0.265674,-0.001944,0.117672
1862549,f(ementa),-0.113335,-0.309441,0.075733,0.030124,0.111289,0.051099
1862551,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862552,f(ementa),-0.169787,-0.315754,0.056323,0.057392,0.143050,0.140879
1862553,f(ementa),-0.172255,-0.177715,0.050985,-0.034289,0.196206,0.096182
1862561,f(ementa),-0.091589,-0.312240,0.145595,-0.039282,0.043775,0.024210
1862567,f(ementa),-0.172255,-0.177715,0.050985,-0.034289,0.196206,0.096182
1862574,f(ementa),-0.169787,-0.315754,0.056323,0.057392,0.143050,0.140879
1862575,f(ementa),-0.169787,-0.315754,0.056323,0.057392,0.143050,0.140879
1862578,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862579,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862580,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862584,f(ementa),-0.172059,0.059162,-0.127082,-0.182705,-0.023135,0.088958
1862585,f(ementa),-0.172255,-0.177715,0.050985,-0.034289,0.196206,0.096182
1862586,f(ementa),-0.165435,-0.373636,-0.026379,0.129899,0.113656,0.124646
1862587,f(ementa),-0.069613,-0.314442,0.102303,0.030741,0.125455,0.062271
1862588,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862589,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862590,f(ementa),-0.146591,-0.288295,-0.009499,-0.008015,0.147434,0.190636
1862591,f(ementa),-0.141520,-0.118290,-0.045808,-0.086415,0.001645,0.014828
1862599,f(ementa),-0.069613,-0.314442,0.102303,0.030742,0.125455,0.062271
1862600,f(ementa),-0.093555,-0.317057,-0.049003,0.139275,0.084671,0.119271
1862601,f(ementa),-0.168586,-0.073184,-0.119027,-0.097490,-0.037025,0.101603
1862611,f(ementa),-0.171889,-0.323752,0.052618,0.054143,0.151066,0.150041
1862612,f(ementa),-0.165435,-0.373636,-0.026379,0.129899,0.113656,0.124646
1862614,f(ementa),-0.199645,-0.302758,0.093334,0.032708,0.180006,0.177955
